Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:388-Scr-tlBa-4_t11,Pacnes_C1,N724S524,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,M:349-Scr-Fo-6_t11,Pacnes_C1,N724S523,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,I:339-Scr-clNo-4_t11,Pacnes_C1,N724S522,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:362-Scr-Ch-6_t11,Pacnes_C1,N724S521,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:357-Scr-Fo-6_t11,Pacnes_C1,N724S519,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,I:336-Scr-trBa-2_t11,Pacnes_C1,N714S517,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:385-Scr-clNo-6_t11,Pacnes_C1,N724S517,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:388-Scr-tlBa-3_t11,Pacnes_C1,N723S524,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,I:339-Scr-clNo-3_t11,Pacnes_C1,N723S522,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:362-Scr-Ch-5_t11,Pacnes_C1,N723S521,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:357-Scr-Fo-5_t11,Pacnes_C1,N723S519,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:385-Scr-clNo-5_t11,Pacnes_C1,N723S517,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:388-Scr-tlBa-2_t11,Pacnes_C1,N722S524,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,M:349-Scr-Fo-1_t11,Pacnes_C1,N713S524,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:363-Scr-trBa-4_t11,Pacnes_C1,N722S523,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:361-Scr-clNo-6_t11,Pacnes_C1,N722S522,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:362-Scr-Ch-4_t11,Pacnes_C1,N722S521,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,A:378-Scr-Ch-4_t11,Pacnes_C1,N722S520,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:386-Scr-Ch-6_t11,Pacnes_C1,N722S519,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,A:376-Scr-crNo-6_t11,Pacnes_C1,N722S517,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:363-Scr-trBa-3_t11,Pacnes_C1,N721S523,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,I:339-Scr-clNo-1_t11,Pacnes_C1,N713S523,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,L:362-Scr-Ch-3_t11,Pacnes_C1,N721S521,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,A:378-Scr-Ch-3_t11,Pacnes_C1,N721S520,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,O:386-Scr-Ch-5_t11,Pacnes_C1,N721S519,O,
