,subj-5_pore-396_col-1,subj-5_scrape-403_col-1,subj-5_scrape-404_col-1,subj-5_scrape-403_col-2,subj-5_scrape-402_col-3,subj-5_scrape-402_col-4,subj-5_scrape-400_col-1,subj-5_scrape-400_col-2,subj-5_scrape-400_col-3,subj-5_pore-397_col-1,subj-5_pore-397_col-2,subj-5_pore-397_col-3,subj-5_pore-399_col-1,subj-5_pore-399_col-2,subj-5_pore-397_col-4,subj-5_pore-397_col-5,subj-5_pore-398_col-1,subj-5_pore-398_col-2,subj-5_pore-395_col-6,subj-5_pore-396_col-2,
subj-5_pore-396_col-1,0,2,4,3,3,4,1,2,2,5,5,6,3,1,5,6,2,1,1,0,
subj-5_scrape-403_col-1,2,0,3,3,2,3,1,1,1,3,3,4,2,1,3,4,2,1,1,2,
subj-5_scrape-404_col-1,4,3,0,9,7,8,5,6,6,9,9,10,7,5,9,10,6,5,5,6,
subj-5_scrape-403_col-2,3,3,9,0,6,7,4,5,5,8,8,9,6,4,8,9,5,4,4,5,
subj-5_scrape-402_col-3,3,2,7,6,0,3,2,1,1,6,6,7,2,2,6,7,3,2,2,3,
subj-5_scrape-402_col-4,4,3,8,7,3,0,3,2,2,7,7,8,3,3,7,8,4,3,3,4,
subj-5_scrape-400_col-1,1,1,5,4,2,3,0,1,1,4,4,5,2,0,4,5,1,0,0,1,
subj-5_scrape-400_col-2,2,1,6,5,1,2,1,0,0,5,5,6,1,1,5,6,2,1,1,2,
subj-5_scrape-400_col-3,2,1,6,5,1,2,1,0,0,5,5,6,1,1,5,6,2,1,1,2,
subj-5_pore-397_col-1,5,3,9,8,6,7,4,5,5,0,0,1,6,4,0,1,5,4,4,5,
subj-5_pore-397_col-2,5,3,9,8,6,7,4,5,5,0,0,1,6,4,0,1,5,4,4,5,
subj-5_pore-397_col-3,6,4,10,9,7,8,5,6,6,1,1,0,7,5,1,0,6,5,5,6,
subj-5_pore-399_col-1,3,2,7,6,2,3,2,1,1,6,6,7,0,2,6,7,3,2,2,3,
subj-5_pore-399_col-2,1,1,5,4,2,3,0,1,1,4,4,5,2,0,4,5,1,0,0,1,
subj-5_pore-397_col-4,5,3,9,8,6,7,4,5,5,0,0,1,6,4,0,1,5,4,4,5,
subj-5_pore-397_col-5,6,4,10,9,7,8,5,6,6,1,1,0,7,5,1,0,6,5,5,6,
subj-5_pore-398_col-1,2,2,6,5,3,4,1,2,2,5,5,6,3,1,5,6,0,1,1,2,
subj-5_pore-398_col-2,1,1,5,4,2,3,0,1,1,4,4,5,2,0,4,5,1,0,0,1,
subj-5_pore-395_col-6,1,1,5,4,2,3,0,1,1,4,4,5,2,0,4,5,1,0,0,1,
subj-5_pore-396_col-2,0,2,6,5,3,4,1,2,2,5,5,6,3,1,5,6,2,1,1,0,
