,subj-1_scrape-379_col-1,subj-1_scrape-379_col-2,subj-1_scrape-379_col-3,subj-1_scrape-380_col-1,subj-1_scrape-380_col-2,subj-1_scrape-380_col-3,subj-1_scrape-380_col-4,subj-1_scrape-380_col-5,subj-1_scrape-380_col-6,subj-1_scrape-297_col-1,subj-1_scrape-297_col-2,subj-1_scrape-298_col-1,subj-1_scrape-298_col-2,subj-1_scrape-298_col-3,subj-1_scrape-299_col-1,subj-1_scrape-288_col-1,subj-1_scrape-288_col-2,subj-1_scrape-288_col-3,subj-1_scrape-287_col-1,subj-1_scrape-287_col-2,subj-1_scrape-291_col-3,subj-1_scrape-287_col-3,subj-1_scrape-67_col-1,subj-1_scrape-67_col-2,subj-1_scrape-68_col-1,subj-1_scrape-66_col-1,subj-1_scrape-66_col-2,subj-1_scrape-66_col-3,subj-1_scrape-67_col-3,subj-1_scrape-416_col-1,subj-1_scrape-416_col-2,subj-1_scrape-416_col-3,subj-1_scrape-416_col-4,subj-1_scrape-417_col-1,subj-1_scrape-417_col-2,subj-1_scrape-417_col-3,subj-1_scrape-417_col-4,subj-1_scrape-418_col-2,subj-1_scrape-415_col-3,subj-1_scrape-418_col-3,subj-1_scrape-418_col-4,subj-1_scrape-442_col-1,subj-1_scrape-442_col-3,subj-1_scrape-442_col-6,subj-1_scrape-444_col-1,subj-1_scrape-444_col-2,subj-1_scrape-444_col-3,subj-1_scrape-444_col-4,subj-1_scrape-444_col-5,subj-1_scrape-443_col-1,subj-1_scrape-443_col-2,subj-1_scrape-443_col-3,subj-1_scrape-443_col-4,subj-1_scrape-443_col-5,subj-1_scrape-443_col-6,subj-1_scrape-444_col-7,subj-1_scrape-444_col-8,subj-1_scrape-444_col-9,subj-1_scrape-444_col-13,subj-1_scrape-444_col-14,subj-1_scrape-443_col-7,subj-1_scrape-443_col-8,subj-1_scrape-443_col-9,
subj-1_scrape-379_col-1,0,12,16,15,13,13,12,15,16,12,12,13,13,12,12,16,15,15,9,9,12,12,15,13,15,11,13,12,15,11,11,14,10,17,16,17,13,16,3,16,16,18,15,15,17,17,16,14,11,18,5,19,11,2,22,12,17,17,17,17,17,15,16,
subj-1_scrape-379_col-2,12,0,4,9,7,7,6,5,10,6,6,7,7,6,8,10,9,9,3,3,6,6,9,7,10,9,7,8,3,7,7,8,6,11,10,11,7,10,9,10,10,8,9,9,11,11,10,8,9,12,11,13,5,14,16,10,11,11,11,11,11,9,6,
subj-1_scrape-379_col-3,16,4,0,13,11,11,10,9,14,10,10,11,11,10,12,14,13,13,7,7,9,10,13,11,14,13,11,12,1,11,11,12,10,15,14,15,11,14,13,14,14,12,13,13,15,15,14,12,13,16,15,17,9,18,20,14,15,15,15,15,15,13,10,
subj-1_scrape-380_col-1,15,9,13,0,10,10,9,12,13,9,9,10,10,9,11,5,12,12,6,6,8,9,4,10,5,12,10,11,12,10,10,11,9,14,13,14,10,13,12,13,13,15,12,12,6,14,13,11,12,15,14,16,8,17,19,13,14,14,14,14,14,4,13,
subj-1_scrape-380_col-2,13,7,11,10,0,0,3,10,9,3,3,0,0,3,9,11,8,8,4,4,2,7,10,4,11,10,0,9,10,8,8,9,7,10,9,10,8,7,10,7,7,13,2,6,12,10,3,9,10,9,12,10,6,15,15,11,10,10,10,10,8,10,11,
subj-1_scrape-380_col-3,13,7,11,10,0,0,3,10,9,3,3,0,0,3,9,11,8,8,4,4,2,7,10,4,11,10,0,9,10,8,8,9,7,10,9,10,8,7,10,7,7,13,2,6,12,10,3,9,10,9,12,10,6,15,15,11,10,10,10,10,8,10,11,
subj-1_scrape-380_col-4,12,6,10,9,3,3,0,9,8,0,0,3,3,2,8,10,7,7,3,3,1,6,9,3,10,9,3,8,9,7,7,8,6,9,8,9,7,6,9,6,6,12,5,5,11,9,6,8,9,8,11,9,5,14,14,10,9,9,9,9,7,9,10,
subj-1_scrape-380_col-5,15,5,9,12,10,10,9,0,13,9,9,10,10,9,11,13,12,12,6,6,9,9,12,10,13,12,10,11,8,10,10,11,9,14,13,14,10,13,12,13,13,3,12,12,14,14,13,11,12,15,14,16,8,17,19,13,14,14,14,14,14,12,1,
subj-1_scrape-380_col-6,16,10,14,13,9,9,8,13,0,8,8,9,9,8,12,14,1,1,7,7,7,10,13,9,14,13,9,12,13,11,11,12,10,1,8,9,11,12,13,12,12,16,11,11,15,3,12,12,13,14,15,15,9,18,14,14,9,3,3,9,13,13,14,
subj-1_scrape-297_col-1,12,6,10,9,3,3,0,9,8,0,0,3,3,2,8,10,7,7,3,3,2,6,9,3,10,9,3,8,9,7,7,8,6,9,8,9,7,6,9,6,6,12,5,5,11,9,6,8,9,8,11,9,5,14,14,10,9,9,9,9,7,9,10,
