,subj-4_scrape-318_col-1,subj-4_scrape-321_col-1,subj-4_scrape-321_col-2,subj-4_scrape-321_col-3,subj-4_scrape-319_col-1,subj-4_scrape-318_col-2,subj-4_scrape-319_col-2,subj-4_scrape-318_col-3,subj-4_scrape-319_col-3,subj-4_scrape-319_col-4,subj-4_scrape-318_col-4,subj-4_scrape-319_col-5,subj-4_scrape-318_col-5,subj-4_scrape-319_col-6,subj-4_scrape-318_col-6,subj-4_scrape-312_col-1,subj-4_scrape-312_col-2,subj-4_scrape-312_col-3,subj-4_scrape-312_col-4,subj-4_scrape-313_col-1,subj-4_scrape-312_col-5,subj-4_scrape-321_col-4,subj-4_scrape-312_col-6,subj-4_scrape-321_col-5,subj-4_scrape-314_col-1,subj-4_scrape-317_col-1,subj-4_scrape-317_col-2,subj-4_scrape-317_col-3,subj-4_scrape-317_col-4,subj-4_scrape-313_col-2,subj-4_scrape-314_col-2,subj-4_scrape-315_col-1,subj-4_scrape-316_col-1,subj-4_scrape-313_col-3,subj-4_scrape-315_col-2,subj-4_scrape-314_col-3,subj-4_scrape-315_col-3,subj-4_scrape-313_col-4,subj-4_scrape-314_col-4,subj-4_scrape-315_col-4,subj-4_scrape-313_col-5,subj-4_scrape-314_col-5,subj-4_scrape-316_col-2,subj-4_scrape-313_col-6,subj-4_scrape-314_col-6,subj-4_scrape-315_col-5,
subj-4_scrape-318_col-1,0,10,16,5,27,27,26,27,8,8,27,27,27,3,6,13,7,9,12,9,10,11,6,9,7,21,24,22,21,7,10,12,9,8,6,9,7,11,11,17,10,7,6,7,9,9,
subj-4_scrape-321_col-1,10,0,21,11,33,33,32,33,14,14,33,33,33,9,12,19,11,15,18,13,14,15,10,14,13,27,30,28,27,11,16,15,15,12,10,15,11,14,16,20,14,13,10,10,12,13,
subj-4_scrape-321_col-2,16,21,0,18,33,35,32,35,18,18,35,33,35,15,19,23,20,13,17,22,20,13,19,15,11,29,32,30,29,17,15,18,14,17,19,15,20,19,22,25,21,10,19,16,21,22,
subj-4_scrape-321_col-3,5,11,18,0,28,28,27,28,9,9,28,28,28,4,7,14,8,10,13,10,10,11,7,10,8,22,25,23,22,8,11,12,10,9,7,10,8,11,12,18,11,8,7,8,10,10,
subj-4_scrape-319_col-1,27,33,33,28,0,36,0,36,29,29,36,0,36,26,29,34,30,30,33,32,33,30,29,26,28,30,33,31,30,30,30,27,30,31,29,31,29,32,28,33,33,28,29,30,31,32,
subj-4_scrape-318_col-2,27,33,35,28,36,0,33,0,29,29,0,36,0,23,29,34,29,30,33,32,33,32,29,29,28,30,33,31,30,30,31,28,30,29,29,30,29,31,26,37,33,29,29,29,27,32,
subj-4_scrape-319_col-2,26,32,32,27,0,33,0,33,28,28,33,0,33,25,28,33,29,29,32,30,31,29,28,25,27,26,29,27,26,29,29,26,29,30,28,30,28,29,26,31,32,26,28,29,30,31,
subj-4_scrape-318_col-3,27,33,35,28,36,0,33,0,29,29,0,36,0,23,29,34,29,30,33,32,33,32,29,29,28,30,33,31,30,30,31,28,30,29,29,30,29,31,26,37,33,29,29,29,27,32,
subj-4_scrape-319_col-3,8,14,18,9,29,29,28,29,0,0,29,29,29,7,10,15,11,11,14,13,14,12,10,11,9,23,26,24,23,11,12,14,11,12,10,12,11,15,15,20,14,10,10,11,12,13,
subj-4_scrape-319_col-4,8,14,18,9,29,29,28,29,0,0,29,29,29,7,10,15,11,11,14,13,14,12,10,11,9,23,26,24,23,11,12,13,11,12,10,12,11,15,15,20,14,10,10,11,12,13,
subj-4_scrape-318_col-4,27,33,35,28,36,0,33,0,29,29,0,36,0,23,29,34,29,30,33,32,33,32,29,29,28,30,33,31,30,30,31,28,30,29,29,30,29,31,26,37,33,29,29,29,27,32,
subj-4_scrape-319_col-5,27,33,33,28,0,36,0,36,29,29,36,0,36,26,29,34,30,30,33,32,33,30,29,26,28,30,33,31,30,30,30,27,30,31,29,31,30,32,28,33,33,28,29,30,31,32,
subj-4_scrape-318_col-5,27,33,35,28,36,0,33,0,29,29,0,36,0,23,29,34,29,30,33,32,33,32,29,29,28,30,33,31,30,30,31,28,30,29,29,30,29,31,26,37,33,29,29,29,27,32,
subj-4_scrape-319_col-6,3,9,15,4,26,23,25,23,7,7,23,26,23,0,3,12,6,8,11,8,9,10,5,8,6,19,23,21,20,6,9,10,8,6,5,8,6,10,11,15,9,6,4,6,8,8,
subj-4_scrape-318_col-6,6,12,19,7,29,29,28,29,10,10,29,29,29,3,0,15,9,11,14,11,12,13,8,11,9,23,26,24,23,9,12,13,11,10,7,11,9,13,14,18,12,9,8,9,11,11,
subj-4_scrape-312_col-1,13,19,23,14,34,34,33,34,15,15,34,34,34,12,15,0,16,16,19,18,19,17,15,14,14,28,31,29,28,16,16,16,16,16,15,16,16,20,17,23,19,15,15,16,16,18,
subj-4_scrape-312_col-2,7,11,20,8,30,29,29,29,11,11,29,30,29,6,9,16,0,12,15,9,11,13,7,11,9,24,27,22,24,7,12,12,12,9,7,11,7,11,12,15,11,10,6,8,8,9,
