lineage_name, subject, strain_type, num_colonies,
Lineage_1a,1,D,216,
Lineage_1b,1,C,125,
Lineage_1c,1,A,63,
Lineage_1d,1,C,8,
Lineage_1e,1,A,3,
Lineage_1f,1,A,3,
Lineage_2a,2,F,33,
Lineage_2b,2,H,14,
Lineage_2c,2,D,12,
Lineage_2d,2,C,7,
Lineage_2e,2,A,5,
Lineage_2f,2,A,4,
Lineage_2g,2,K,4,
Lineage_2h,2,K,3,
Lineage_2i,2,K,3,
Lineage_3a,3,A,45,
Lineage_3b,3,C,22,
Lineage_3c,3,A,7,
Lineage_3d,3,F,4,
Lineage_3e,3,F,3,
Lineage_4a,4,A,46,
Lineage_5a,5,D,20,
Lineage_5b,5,H,10,
Lineage_5c,5,A,5,
Lineage_5d,5,A,3,
Lineage_6a,6,A,30,
Lineage_7a,7,F,20,
Lineage_7b,7,F,5,
Lineage_8a,8,D,11,
Lineage_8b,8,H,9,
Lineage_8c,8,A,5,
Lineage_8d,8,K,4,
Lineage_9a,9,A,10,
Lineage_9b,9,A,6,
Lineage_10a,10,F,6,
Lineage_10b,10,C,5,
Lineage_10c,10,F,4,
Lineage_10d,10,A,3,
Lineage_10e,10,D,3,
Lineage_11a,11,A,9,
Lineage_11b,11,A,5,
Lineage_11c,11,K,4,
Lineage_12a,12,A,6,
Lineage_12b,12,K,5,
Lineage_12c,12,D,3,
Lineage_12d,12,H,3,
Lineage_13a,13,A,17,
Lineage_14a,14,A,5,
Lineage_14b,14,F,4,
Lineage_14c,14,H,4,
Lineage_15a,15,A,4,
Lineage_15b,15,H,3,
Lineage_16a,16,D,4,
