Lineage_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_name_simple,subject,sampling_method,pore_multiplicity,sample_number,colony_number,sebaceous_skin_region,time_in_months,median_coverage,read_length,plasmid_presence,transposon_presence,
subj-6_scrape-362_col-1,6,scrape,scrape,362,1,chin,11,136,75,0,1,
subj-6_scrape-357_col-1,6,scrape,scrape,357,1,forehead,11,116,75,0,0,
subj-6_scrape-362_col-2,6,scrape,scrape,362,2,chin,11,168,75,0,1,
subj-6_scrape-357_col-2,6,scrape,scrape,357,2,forehead,11,76,75,0,0,
subj-6_scrape-363_col-1,6,scrape,scrape,363,1,back,11,112,75,0,1,
subj-6_scrape-361_col-1,6,scrape,scrape,361,1,nose,11,160,75,0,0,
subj-6_scrape-362_col-3,6,scrape,scrape,362,3,chin,11,124,75,0,1,
subj-6_scrape-363_col-2,6,scrape,scrape,363,2,back,11,136,75,0,1,
subj-6_scrape-362_col-4,6,scrape,scrape,362,4,chin,11,124,75,0,0,
subj-6_scrape-359_col-1,6,scrape,scrape,359,1,left_cheek,11,100,75,0,0,
subj-6_scrape-363_col-3,6,scrape,scrape,363,3,back,11,112,75,0,1,
subj-6_scrape-361_col-2,6,scrape,scrape,361,2,nose,11,208,75,0,1,
subj-6_scrape-362_col-5,6,scrape,scrape,362,5,chin,11,172,75,0,0,
subj-6_scrape-358_col-1,6,scrape,scrape,358,1,right_cheek,11,72,75,0,0,
subj-6_scrape-360_col-1,6,scrape,scrape,360,1,nose,11,56,75,0,0,
subj-6_scrape-359_col-2,6,scrape,scrape,359,2,left_cheek,11,72,75,0,1,
subj-6_scrape-363_col-4,6,scrape,scrape,363,4,back,11,104,75,0,1,
subj-6_scrape-361_col-3,6,scrape,scrape,361,3,nose,11,128,75,0,1,
subj-6_scrape-362_col-6,6,scrape,scrape,362,6,chin,11,96,75,0,0,
subj-6_scrape-358_col-2,6,scrape,scrape,358,2,right_cheek,11,100,75,0,0,
subj-6_scrape-360_col-2,6,scrape,scrape,360,2,nose,11,76,75,0,0,
subj-6_scrape-359_col-3,6,scrape,scrape,359,3,left_cheek,11,200,75,0,0,
subj-6_scrape-357_col-3,6,scrape,scrape,357,3,forehead,11,52,75,0,1,
subj-6_scrape-361_col-4,6,scrape,scrape,361,4,nose,11,132,75,0,1,
subj-6_scrape-358_col-3,6,scrape,scrape,358,3,right_cheek,11,120,75,0,0,
subj-6_scrape-360_col-3,6,scrape,scrape,360,3,nose,11,44,75,0,0,
subj-6_scrape-357_col-4,6,scrape,scrape,357,4,forehead,11,84,75,0,1,
subj-6_scrape-357_col-5,6,scrape,scrape,357,5,forehead,11,68,75,0,1,
subj-6_scrape-364_col-2,6,scrape,scrape,364,2,back,11,76,75,0,0,
subj-6_scrape-364_col-3,6,scrape,scrape,364,3,back,11,92,75,0,1,
