Lineage_8b,,,,,,,,,,,,,,,,,
,,,,,,,sample_name_regular,R:407-Ext-ChB-2_t15,R:408-Ext-ccRcB-8_t15,R:408-Ext-ccRcB-6_t15,R:408-Ext-ccRcB-5_t15,R:408-Ext-ccRcB-7_t15,R:408-Ext-ccRcB-4_t15,R:408-Ext-ccRcB-3_t15,R:408-Ext-ccRcB-2_t15,R:408-Ext-ccRcB-1_t15,
,,,,,,,sample_name_simple,subj-8_pore-407_col-5,subj-8_pore-408_col-1,subj-8_pore-408_col-2,subj-8_pore-408_col-3,subj-8_pore-408_col-4,subj-8_pore-408_col-5,subj-8_pore-408_col-6,subj-8_pore-408_col-7,subj-8_pore-408_col-8,
,,,,,,,subject,8,8,8,8,8,8,8,8,8,
,,,,,,,sampling_method,pore_extract,pore_extract,pore_extract,pore_extract,pore_extract,pore_extract,pore_extract,pore_extract,pore_extract,
,,,,,,,pore_multiplicity,pore,pore,pore,pore,pore,pore,pore,pore,pore,
,,,,,,,sample_number,407,408,408,408,408,408,408,408,408,
,,,,,,,colony_number,5,1,2,3,4,5,6,7,8,
,,,,,,,sebaceous_skin_region,chin,right_cheek,right_cheek,right_cheek,right_cheek,right_cheek,right_cheek,right_cheek,right_cheek,
,,,,,,,time_in_months,15,15,15,15,15,15,15,15,15,
,,,,,,,median_coverage,130,125,141,135,225,170,163,161,195,
,,,,,,,read_length,100,100,100,100,100,100,100,100,100,
,,,,,,,plasmid_presence,0,0,0,0,0,0,0,0,0,
,,,,,,,transposon_presence,0,0,0,0,0,0,0,0,0,
position_on_ref_genome,protein_id,locus_tag,annontation,mutation_type,mutation_info,ancestral_allele,,,,,,,,,,,
,,,,,,,,no SNVs detected in this lineage,,,,,,,,,
