Lineage_8c,,,,,,,,,,,,,
,,,,,,,sample_name_regular,R:409-Ext-ccLcBs-5_t15,R:409-Ext-ccLcBs-4_t15,R:409-Ext-ccLcBs-3_t15,R:409-Ext-ccLcBs-2_t15,R:409-Ext-ccLcBs-1_t15,
,,,,,,,sample_name_simple,subj-8_multipore-409_col-1,subj-8_multipore-409_col-2,subj-8_multipore-409_col-3,subj-8_multipore-409_col-4,subj-8_multipore-409_col-5,
,,,,,,,subject,8,8,8,8,8,
,,,,,,,sampling_method,pore_extract,pore_extract,pore_extract,pore_extract,pore_extract,
,,,,,,,pore_multiplicity,multipore,multipore,multipore,multipore,multipore,
,,,,,,,sample_number,409,409,409,409,409,
,,,,,,,colony_number,1,2,3,4,5,
,,,,,,,sebaceous_skin_region,left_cheek,left_cheek,left_cheek,left_cheek,left_cheek,
,,,,,,,time_in_months,15,15,15,15,15,
,,,,,,,median_coverage,98,93,49,71,84,
,,,,,,,read_length,100,100,100,100,100,
,,,,,,,plasmid_presence,0,0,0,0,0,
,,,,,,,transposon_presence,0,0,0,0,0,
position_on_ref_genome,protein_id,locus_tag,annontation,mutation_type,mutation_info,ancestral_allele,,,,,,,
,,,,,,,,no SNVs detected in this lineage,,,,,
