Path,Sample,ReferenceGenome,Outgroup,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:410-Ext-blFoBs-2_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:405-Ext-tlLcB-3_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:405-Ext-tlLcB-1_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:407-Ext-ChB-6_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:407-Ext-ChB-5_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:407-Ext-ChB-4_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:407-Ext-ChB-3_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:406-Ext-ChB-5_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:406-Ext-ChB-3_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:410-Ext-blFoBs-5_t15,14,0,
/scratch/mit_lieberman/projects/aro_cacnes_biogeo/5_lineage_assembly_mapping,R:410-Ext-blFoBs-4_t15,14,0,
