Path, Sample, ReferenceGenome, ProviderName, Subject
/not/used,A:377-Scr-clNo-1_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:375-Scr-Lc-4_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:375-Scr-Lc-3_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:373-Scr-Fo-1_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:375-Scr-Lc-1_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:373-Scr-Fo-3_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:373-Scr-Fo-2_t11,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:214-Stp-No62-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:205-Stp-Rc59-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:197-Stp-Rc57-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:236-Stp-Rc69-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:214-Stp-No62-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:205-Stp-Rc59-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:197-Stp-Rc57-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:236-Stp-Rc69-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:239-Stp-Rc69-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:199-Stp-Rc58-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:210-Stp-Rc60-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:199-Stp-Rc58-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:210-Stp-Rc60-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:216-Stp-No62-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:245-Stp-Rc70-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:196-Stp-Rc57-4_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:195-Stp-No66-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:216-Stp-No62-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:245-Stp-Rc70-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:196-Stp-Rc57-3_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:206-Stp-Rc59-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:211-Stp-Rc60-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:196-Stp-Rc57-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:201-Stp-Rc58-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
