sample-id,filename,direction
A-Ex-01-F12,A-Ex-01-F12_307_L001_R1_001.fastq.gz,forward
A-Ex-02-G01,A-Ex-02-G01_198_L001_R1_001.fastq.gz,forward
A-Ex-03-G02,A-Ex-03-G02_208_L001_R1_001.fastq.gz,forward
A-Ex-04-G03,A-Ex-04-G03_218_L001_R1_001.fastq.gz,forward
A-Ex-05-G04,A-Ex-05-G04_228_L001_R1_001.fastq.gz,forward
A-Ex-06-G05,A-Ex-06-G05_238_L001_R1_001.fastq.gz,forward
A-Ex-07-G06,A-Ex-07-G06_248_L001_R1_001.fastq.gz,forward
A-Ex-08-G07,A-Ex-08-G07_258_L001_R1_001.fastq.gz,forward
A-Ex-09-G08,A-Ex-09-G08_268_L001_R1_001.fastq.gz,forward
A-Ex-10-G09,A-Ex-10-G09_278_L001_R1_001.fastq.gz,forward
A-Ex-11-G10,A-Ex-11-G10_288_L001_R1_001.fastq.gz,forward
A-Ex-12-G11,A-Ex-12-G11_298_L001_R1_001.fastq.gz,forward
A-Ex-13-G12,A-Ex-13-G12_308_L001_R1_001.fastq.gz,forward
A-Ex-14-H01,A-Ex-14-H01_199_L001_R1_001.fastq.gz,forward
A-Ex-15-H02,A-Ex-15-H02_209_L001_R1_001.fastq.gz,forward
A-Ex-16-H03,A-Ex-16-H03_219_L001_R1_001.fastq.gz,forward
A-Ex-17-H04,A-Ex-17-H04_229_L001_R1_001.fastq.gz,forward
A-Ex-18-H05,A-Ex-18-H05_239_L001_R1_001.fastq.gz,forward
A-Ex-19-H06,A-Ex-19-H06_249_L001_R1_001.fastq.gz,forward
A-Ex-20-H07,A-Ex-20-H07_259_L001_R1_001.fastq.gz,forward
A-Ex-21-H08,A-Ex-21-H08_269_L001_R1_001.fastq.gz,forward
A-Sc-22-H09,A-Sc-22-H09_279_L001_R1_001.fastq.gz,forward
A-Sc-23-H10,A-Sc-23-H10_289_L001_R1_001.fastq.gz,forward
A-Sc-24-H11,A-Sc-24-H11_299_L001_R1_001.fastq.gz,forward
A-Sc-25-H12,A-Sc-25-H12_309_L001_R1_001.fastq.gz,forward
A-Sc-26-A01,A-Sc-26-A01_200_L001_R1_001.fastq.gz,forward
A-Sc-27-A02,A-Sc-27-A02_210_L001_R1_001.fastq.gz,forward
A-Sc-28-A03,A-Sc-28-A03_220_L001_R1_001.fastq.gz,forward
A-Sc-29-A04,A-Sc-29-A04_230_L001_R1_001.fastq.gz,forward
A-Sc-30-A05,A-Sc-30-A05_240_L001_R1_001.fastq.gz,forward
A-Sc-31-A06,A-Sc-31-A06_250_L001_R1_001.fastq.gz,forward
A-Sc-32-A07,A-Sc-32-A07_260_L001_R1_001.fastq.gz,forward
A-Sc-33-A08,A-Sc-33-A08_270_L001_R1_001.fastq.gz,forward
A-Sc-34-A09,A-Sc-34-A09_280_L001_R1_001.fastq.gz,forward
A-Sc-35-A10,A-Sc-35-A10_290_L001_R1_001.fastq.gz,forward
A-Sc-36-A11,A-Sc-36-A11_300_L001_R1_001.fastq.gz,forward
A-Sc-37-A12,A-Sc-37-A12_310_L001_R1_001.fastq.gz,forward
A-St-A01,A-St-A01_192_L001_R1_001.fastq.gz,forward
A-St-A02,A-St-A02_202_L001_R1_001.fastq.gz,forward
A-St-A03,A-St-A03_212_L001_R1_001.fastq.gz,forward
A-St-A04,A-St-A04_222_L001_R1_001.fastq.gz,forward
A-St-A05,A-St-A05_232_L001_R1_001.fastq.gz,forward
A-St-A06,A-St-A06_242_L001_R1_001.fastq.gz,forward
A-St-A07,A-St-A07_252_L001_R1_001.fastq.gz,forward
A-St-A08,A-St-A08_262_L001_R1_001.fastq.gz,forward
A-St-A09,A-St-A09_272_L001_R1_001.fastq.gz,forward
A-St-A10,A-St-A10_282_L001_R1_001.fastq.gz,forward
A-St-A11,A-St-A11_292_L001_R1_001.fastq.gz,forward
A-St-A12,A-St-A12_302_L001_R1_001.fastq.gz,forward
A-St-B01,A-St-B01_193_L001_R1_001.fastq.gz,forward
A-St-B02,A-St-B02_203_L001_R1_001.fastq.gz,forward
A-St-B03,A-St-B03_213_L001_R1_001.fastq.gz,forward
A-St-B04,A-St-B04_223_L001_R1_001.fastq.gz,forward
A-St-B05,A-St-B05_233_L001_R1_001.fastq.gz,forward
A-St-B06,A-St-B06_243_L001_R1_001.fastq.gz,forward
A-St-B07,A-St-B07_253_L001_R1_001.fastq.gz,forward
A-St-B08,A-St-B08_263_L001_R1_001.fastq.gz,forward
A-St-B09,A-St-B09_273_L001_R1_001.fastq.gz,forward
A-St-B10,A-St-B10_283_L001_R1_001.fastq.gz,forward
A-St-B11,A-St-B11_293_L001_R1_001.fastq.gz,forward
A-St-B12,A-St-B12_303_L001_R1_001.fastq.gz,forward
A-St-C01,A-St-C01_194_L001_R1_001.fastq.gz,forward
A-St-C02,A-St-C02_204_L001_R1_001.fastq.gz,forward
