,Lineage_12b_subj-12_scrape-349_col-1,Lineage_12b_subj-12_scrape-349_col-2,Lineage_12b_subj-12_scrape-349_col-3,Lineage_12b_subj-12_scrape-349_col-4,Lineage_12b_subj-12_scrape-350_col-2,Lineage_11c_subj-11_scrape-341_col-1,Lineage_11c_subj-11_scrape-341_col-2,Lineage_11c_subj-11_scrape-341_col-3,Lineage_11c_subj-11_scrape-341_col-5,Lineage_2g_subj-2_scrape-309_col-3,Lineage_2g_subj-2_scrape-75_col-3,Lineage_2g_subj-2_scrape-92_col-2,Lineage_2g_subj-2_scrape-92_col-3,Lineage_8d_subj-8_pore-406_col-1,Lineage_8d_subj-8_pore-406_col-2,Lineage_8d_subj-8_pore-406_col-5,Lineage_8d_subj-8_pore-406_col-6,Lineage_2h_subj-2_scrape-310_col-4,Lineage_2h_subj-2_scrape-310_col-5,Lineage_2h_subj-2_scrape-92_col-1,Lineage_2i_subj-2_scrape-309_col-1,Lineage_2i_subj-2_pore-78_col-1,Lineage_2i_subj-2_pore-78_col-2,
Lineage_12b_subj-12_scrape-349_col-1,0,7,12,7,10,448,537,342,518,3266,3947,3739,3820,5256,5299,5238,5201,2585,2182,3668,3958,4618,4636,
Lineage_12b_subj-12_scrape-349_col-2,7,0,9,0,7,441,531,340,513,3221,3904,3698,3777,5196,5239,5179,5141,2563,2157,3632,3909,4568,4586,
Lineage_12b_subj-12_scrape-349_col-3,12,9,0,9,12,452,545,353,527,3298,3990,3780,3862,5305,5347,5287,5249,2616,2214,3710,4008,4676,4694,
Lineage_12b_subj-12_scrape-349_col-4,7,0,9,0,7,446,538,346,518,3249,3928,3720,3799,5222,5265,5206,5169,2578,2180,3651,3937,4593,4611,
Lineage_12b_subj-12_scrape-350_col-2,10,7,12,7,0,452,541,348,523,3275,3971,3762,3843,5286,5329,5268,5231,2599,2202,3691,3980,4655,4673,
Lineage_11c_subj-11_scrape-341_col-1,448,441,452,446,452,0,10,10,8,2684,3248,3068,3133,4364,4398,4344,4320,2170,1849,3034,3248,3787,3801,
Lineage_11c_subj-11_scrape-341_col-2,537,531,545,538,541,10,0,27,2,3227,3907,3709,3782,5187,5229,5168,5133,2571,2164,3636,3926,4569,4586,
Lineage_11c_subj-11_scrape-341_col-3,342,340,353,346,348,10,27,0,25,2005,2440,2310,2341,3180,3213,3175,3146,1603,1360,2278,2366,2782,2799,
Lineage_11c_subj-11_scrape-341_col-5,518,513,527,518,523,8,2,25,0,3212,3890,3691,3769,5169,5213,5153,5113,2550,2152,3618,3909,4546,4564,
Lineage_2g_subj-2_scrape-309_col-3,3266,3221,3298,3249,3275,2684,3227,2005,3212,0,5,3,4,2958,2985,2940,2922,266,218,362,821,922,924,
Lineage_2g_subj-2_scrape-75_col-3,3947,3904,3990,3928,3971,3248,3907,2440,3890,5,0,4,5,3444,3474,3425,3404,294,246,424,1028,1163,1165,
Lineage_2g_subj-2_scrape-92_col-2,3739,3698,3780,3720,3762,3068,3709,2310,3691,3,4,0,0,3316,3346,3296,3274,292,238,413,981,1110,1113,
Lineage_2g_subj-2_scrape-92_col-3,3820,3777,3862,3799,3843,3133,3782,2341,3769,4,5,0,0,3365,3397,3348,3326,277,227,395,966,1093,1095,
Lineage_8d_subj-8_pore-406_col-1,5256,5196,5305,5222,5286,4364,5187,3180,5169,2958,3444,3316,3365,0,1,0,0,2464,2089,3381,3744,4224,4233,
Lineage_8d_subj-8_pore-406_col-2,5299,5239,5347,5265,5329,4398,5229,3213,5213,2985,3474,3346,3397,1,0,1,1,2490,2109,3411,3767,4253,4261,
Lineage_8d_subj-8_pore-406_col-5,5238,5179,5287,5206,5268,4344,5168,3175,5153,2940,3425,3296,3348,0,1,0,0,2450,2073,3360,3725,4203,4211,
Lineage_8d_subj-8_pore-406_col-6,5201,5141,5249,5169,5231,4320,5133,3146,5113,2922,3404,3274,3326,0,1,0,0,2439,2069,3343,3707,4181,4190,
Lineage_2h_subj-2_scrape-310_col-4,2585,2563,2616,2578,2599,2170,2571,1603,2550,266,294,292,277,2464,2490,2450,2439,0,12,6,641,711,712,
Lineage_2h_subj-2_scrape-310_col-5,2182,2157,2214,2180,2202,1849,2164,1360,2152,218,246,238,227,2089,2109,2073,2069,12,0,13,476,535,535,
Lineage_2h_subj-2_scrape-92_col-1,3668,3632,3710,3651,3691,3034,3636,2278,3618,362,424,413,395,3381,3411,3360,3343,6,13,0,887,999,998,
Lineage_2i_subj-2_scrape-309_col-1,3958,3909,4008,3937,3980,3248,3926,2366,3909,821,1028,981,966,3744,3767,3725,3707,641,476,887,0,17,16,
Lineage_2i_subj-2_pore-78_col-1,4618,4568,4676,4593,4655,3787,4569,2782,4546,922,1163,1110,1093,4224,4253,4203,4181,711,535,999,17,0,1,
Lineage_2i_subj-2_pore-78_col-2,4636,4586,4694,4611,4673,3801,4586,2799,4564,924,1165,1113,1095,4233,4261,4211,4190,712,535,998,16,1,0,
