Lineage_5d,,,,,,,,,,,
,,,,,,,sample_name_regular,Q:401-Scr-trBa-3_t15,Q:401-Scr-trBa-1_t15,Q:395-Ext-trBaB-3_t15,
,,,,,,,sample_name_simple,subj-5_scrape-401_col-2,subj-5_scrape-401_col-4,subj-5_pore-395_col-5,
,,,,,,,subject,5,5,5,
,,,,,,,sampling_method,scrape,scrape,pore_extract,
,,,,,,,pore_multiplicity,scrape,scrape,pore,
,,,,,,,sample_number,401,401,395,
,,,,,,,colony_number,2,4,5,
,,,,,,,sebaceous_skin_region,back,back,back,
,,,,,,,time_in_months,15,15,15,
,,,,,,,median_coverage,98,104,88,
,,,,,,,read_length,100,100,100,
,,,,,,,plasmid_presence,1,1,0,
,,,,,,,transposon_presence,0,0,0,
position_on_ref_genome,protein_id,locus_tag,annontation,mutation_type,mutation_info,ancestral_allele,,,,,
,,,,,,,,no SNVs detected in this lineage,,,
