,Lineage_2b_subj-2_scrape-310_col-1,Lineage_2b_subj-2_scrape-310_col-2,Lineage_2b_subj-2_scrape-304_col-2,Lineage_2b_subj-2_scrape-309_col-4,Lineage_2b_subj-2_scrape-307_col-4,Lineage_2b_subj-2_scrape-308_col-5,Lineage_2b_subj-2_scrape-74_col-1,Lineage_2b_subj-2_scrape-74_col-3,Lineage_2b_subj-2_scrape-74_col-4,Lineage_2b_subj-2_multipore-83_col-3,Lineage_2b_subj-2_pore-78_col-3,Lineage_2b_subj-2_scrape-77_col-2,Lineage_2b_subj-2_scrape-76_col-1,Lineage_2b_subj-2_scrape-76_col-2,Lineage_5b_subj-5_scrape-404_col-3,Lineage_5b_subj-5_scrape-402_col-1,Lineage_5b_subj-5_scrape-402_col-2,Lineage_5b_subj-5_scrape-401_col-1,Lineage_5b_subj-5_scrape-401_col-3,Lineage_5b_subj-5_pore-394_col-1,Lineage_5b_subj-5_scrape-400_col-4,Lineage_5b_subj-5_pore-394_col-2,Lineage_5b_subj-5_pore-394_col-3,Lineage_5b_subj-5_pore-394_col-4,Lineage_8b_subj-8_pore-407_col-5,Lineage_8b_subj-8_pore-408_col-1,Lineage_8b_subj-8_pore-408_col-2,Lineage_8b_subj-8_pore-408_col-3,Lineage_8b_subj-8_pore-408_col-4,Lineage_8b_subj-8_pore-408_col-5,Lineage_8b_subj-8_pore-408_col-6,Lineage_8b_subj-8_pore-408_col-7,Lineage_8b_subj-8_pore-408_col-8,Lineage_14c_subj-14_scrape-59_col-2,Lineage_14c_subj-14_scrape-59_col-3,Lineage_14c_subj-14_scrape-60_col-1,Lineage_14c_subj-14_scrape-60_col-3,Lineage_12d_subj-12_scrape-350_col-3,Lineage_12d_subj-12_scrape-350_col-4,Lineage_12d_subj-12_scrape-350_col-5,Lineage_15b_subj-15_scrape-57_col-1,Lineage_15b_subj-15_scrape-57_col-2,Lineage_15b_subj-15_scrape-55_col-1,
Lineage_2b_subj-2_scrape-310_col-1,0,0,24,20,21,32,16,18,7,27,4,7,6,9,451,709,710,708,715,594,719,707,705,682,371,369,375,374,322,322,375,374,376,334,337,242,326,401,402,403,634,561,204,
Lineage_2b_subj-2_scrape-310_col-2,0,0,25,23,23,33,19,21,8,29,5,9,7,10,433,684,687,683,689,574,693,682,679,657,357,357,363,362,314,316,362,361,363,317,320,236,313,383,387,385,611,540,198,
Lineage_2b_subj-2_scrape-304_col-2,24,25,0,7,13,21,23,24,24,16,23,25,25,27,389,607,608,606,611,511,612,604,601,583,319,320,321,320,280,282,321,320,321,286,287,210,282,358,359,359,552,496,186,
Lineage_2b_subj-2_scrape-309_col-4,20,23,7,0,10,19,20,21,21,14,20,24,20,22,396,629,630,628,634,530,638,628,624,601,322,320,327,327,282,285,326,326,327,295,298,208,293,346,350,349,555,495,183,
Lineage_2b_subj-2_scrape-307_col-4,21,23,13,10,0,21,22,24,23,12,20,25,22,25,503,780,782,779,787,656,789,777,775,750,417,416,423,422,366,367,423,422,424,376,378,267,367,455,458,456,699,613,238,
Lineage_2b_subj-2_scrape-308_col-5,32,33,21,19,21,0,33,35,34,26,32,36,34,37,453,716,718,716,723,600,726,715,713,691,381,381,387,386,332,332,387,386,388,350,352,255,343,412,414,413,643,572,207,
Lineage_2b_subj-2_scrape-74_col-1,16,19,23,20,22,33,0,4,19,28,16,21,18,21,498,773,775,773,780,650,783,771,769,744,413,412,420,419,363,364,419,418,420,372,374,267,363,452,453,451,693,611,236,
Lineage_2b_subj-2_scrape-74_col-3,18,21,24,21,24,35,4,0,21,30,18,23,20,23,502,778,780,777,785,654,787,776,774,748,416,415,422,421,365,366,422,421,423,375,377,268,367,454,456,454,698,613,237,
Lineage_2b_subj-2_scrape-74_col-4,7,8,24,21,23,34,19,21,0,29,5,9,7,10,469,735,737,735,741,615,744,732,732,707,395,394,401,400,348,349,400,399,401,354,356,255,350,431,434,431,659,591,224,
Lineage_2b_subj-2_multipore-83_col-3,27,29,16,14,12,26,28,30,29,0,26,31,28,31,506,781,784,781,788,658,791,780,778,752,424,423,430,429,373,374,430,429,431,383,385,272,374,461,463,461,703,623,245,
