,subj-7_scrape-339_col-1,subj-7_scrape-336_col-1,subj-7_scrape-339_col-2,subj-7_scrape-339_col-3,subj-7_scrape-336_col-2,subj-7_scrape-336_col-3,subj-7_scrape-336_col-4,subj-7_scrape-333_col-1,subj-7_scrape-333_col-2,subj-7_scrape-333_col-3,subj-7_scrape-334_col-3,subj-7_scrape-333_col-4,subj-7_scrape-332_col-1,subj-7_scrape-332_col-2,subj-7_scrape-331_col-2,subj-7_scrape-330_col-4,subj-7_scrape-340_col-1,subj-7_scrape-340_col-2,subj-7_scrape-340_col-3,subj-7_scrape-340_col-4,
subj-7_scrape-339_col-1,0,6,0,0,8,3,4,6,4,8,5,6,6,12,3,1,1,6,6,5,
subj-7_scrape-336_col-1,6,0,7,7,3,2,3,10,8,10,10,11,9,15,8,3,6,9,11,10,
subj-7_scrape-339_col-2,0,7,0,0,8,3,4,6,4,8,5,6,6,12,3,1,1,6,6,5,
subj-7_scrape-339_col-3,0,7,0,0,6,3,4,6,4,8,5,6,6,12,3,1,1,6,6,5,
subj-7_scrape-336_col-2,8,3,8,6,0,3,4,11,9,12,10,10,9,14,8,4,7,11,11,11,
subj-7_scrape-336_col-3,3,2,3,3,3,0,1,6,5,8,6,7,5,12,4,1,2,6,7,6,
subj-7_scrape-336_col-4,4,3,4,4,4,1,0,8,6,10,7,8,7,13,5,1,3,8,8,7,
subj-7_scrape-333_col-1,6,10,6,6,11,6,8,0,8,11,5,10,6,14,3,5,5,10,6,9,
subj-7_scrape-333_col-2,4,8,4,4,9,5,6,8,0,6,7,8,7,14,5,3,3,8,8,7,
subj-7_scrape-333_col-3,8,10,8,8,12,8,10,11,6,0,9,11,9,16,8,7,7,11,10,11,
subj-7_scrape-334_col-3,5,10,5,5,10,6,7,5,7,9,0,9,5,15,2,3,4,9,5,8,
subj-7_scrape-333_col-4,6,11,6,6,10,7,8,10,8,11,9,0,9,14,7,5,5,10,10,8,
subj-7_scrape-332_col-1,6,9,6,6,9,5,7,6,7,9,5,9,0,12,4,5,5,10,6,7,
subj-7_scrape-332_col-2,12,15,12,12,14,12,13,14,14,16,15,14,12,0,13,11,11,15,15,14,
subj-7_scrape-331_col-2,3,8,3,3,8,4,5,3,5,8,2,7,4,13,0,2,2,7,3,6,
subj-7_scrape-330_col-4,1,3,1,1,4,1,1,5,3,7,3,5,5,11,2,0,0,5,5,3,
subj-7_scrape-340_col-1,1,6,1,1,7,2,3,5,3,7,4,5,5,11,2,0,0,5,5,4,
subj-7_scrape-340_col-2,6,9,6,6,11,6,8,10,8,11,9,10,10,15,7,5,5,0,10,9,
subj-7_scrape-340_col-3,6,11,6,6,11,7,8,6,8,10,5,10,6,15,3,5,5,10,0,9,
subj-7_scrape-340_col-4,5,10,5,5,11,6,7,9,7,11,8,8,7,14,6,3,4,9,9,0,
