,subj-13_scrape-326_col-1,subj-13_scrape-323_col-2,subj-13_scrape-329_col-2,subj-13_scrape-326_col-2,subj-13_scrape-322_col-2,subj-13_scrape-326_col-3,subj-13_scrape-322_col-3,subj-13_scrape-326_col-4,subj-13_scrape-326_col-5,subj-13_scrape-322_col-4,subj-13_scrape-326_col-6,subj-13_scrape-327_col-1,subj-13_scrape-323_col-3,subj-13_scrape-327_col-2,subj-13_scrape-323_col-4,subj-13_scrape-327_col-3,subj-13_scrape-323_col-5,
subj-13_scrape-326_col-1,0,7,15,1,7,0,12,4,4,10,2,11,8,7,9,13,7,
subj-13_scrape-323_col-2,7,0,15,6,0,7,9,9,9,7,7,8,5,4,6,9,4,
subj-13_scrape-329_col-2,15,15,0,15,15,15,21,18,18,16,16,17,16,14,18,17,15,
subj-13_scrape-326_col-2,1,6,15,0,6,1,11,3,3,9,1,10,7,6,8,12,6,
subj-13_scrape-322_col-2,7,0,15,6,0,7,9,9,9,7,7,8,5,4,6,10,4,
subj-13_scrape-326_col-3,0,7,15,1,7,0,12,4,4,10,2,11,8,7,9,12,7,
subj-13_scrape-322_col-3,12,9,21,11,9,12,0,14,14,12,12,13,10,9,11,15,9,
subj-13_scrape-326_col-4,4,9,18,3,9,4,14,0,0,12,4,13,10,9,11,15,9,
subj-13_scrape-326_col-5,4,9,18,3,9,4,14,0,0,12,4,13,10,9,11,15,9,
subj-13_scrape-322_col-4,10,7,16,9,7,10,12,12,12,0,10,11,8,5,9,13,5,
subj-13_scrape-326_col-6,2,7,16,1,7,2,12,4,4,10,0,11,8,7,9,13,7,
subj-13_scrape-327_col-1,11,8,17,10,8,11,13,13,13,11,11,0,9,8,10,1,8,
subj-13_scrape-323_col-3,8,5,16,7,5,8,10,10,10,8,8,9,0,5,7,10,5,
subj-13_scrape-327_col-2,7,4,14,6,4,7,9,9,9,5,7,8,5,0,6,10,2,
subj-13_scrape-323_col-4,9,6,18,8,6,9,11,11,11,9,9,10,7,6,0,11,6,
subj-13_scrape-327_col-3,13,9,17,12,10,12,15,15,15,13,13,1,10,10,11,0,10,
subj-13_scrape-323_col-5,7,4,15,6,4,7,9,9,9,5,7,8,5,2,6,10,0,
